Neighbourhood Id,Neighbourhood,Early Development Instrument (EDI),Healthy Food Index,Social Housing Units,Income Decile Mean,Income Decile Median,Total Pop 2016,  Non-immigrants,  Immigrants,  Non-permanent residents,  First generation,  Second generation,  Third generation or more,"  Postsecondary certificate, diploma or degree","  No certificate, diploma or degree",  Secondary (high) school diploma or equivalency certificate,"Population, 2016",Total Male Population,Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors and Older Seniors
54.0,O'Connor-Parkview,9.76,37.63,528.0,5.0,5.0,18675.0,11180.0,6890.0,425.0,7415.0,5165.0,5925.0,8250.0,2905.0,4240.0,18675.0,9010.0,3110.0,2385.0,7855.0,2650.0,3120.0
58.0,Old East York,9.47,24.76,182.0,6.0,6.0,9233.0,6120.0,3025.0,70.0,3150.0,2820.0,3260.0,4470.0,1340.0,1930.0,9233.0,4555.0,1470.0,915.0,4035.0,1280.0,1750.0
80.0,Palmerston-Little Italy,10.99,45.81,169.0,5.6,6.0,13826.0,9225.0,4100.0,435.0,4750.0,4130.0,4880.0,8280.0,1795.0,2410.0,13826.0,6675.0,1280.0,1465.0,7845.0,1260.0,2250.0
45.0,Parkwoods-Donalda,15.81,33.6,805.0,5.0,5.0,34805.0,16630.0,17210.0,870.0,18245.0,9340.0,7130.0,17085.0,4140.0,7660.0,34805.0,16445.0,5840.0,4680.0,14780.0,4265.0,6025.0
23.0,Pelmo Park-Humberlea,14.0,21.71,359.0,5.5,6.0,10722.0,5685.0,4930.0,95.0,5050.0,3885.0,1775.0,4130.0,2210.0,2635.0,10722.0,5160.0,1745.0,1370.0,4645.0,1390.0,1795.0
67.0,Playter Estates-Danforth,3.08,42.51,194.0,6.5,7.0,7804.0,5750.0,1795.0,90.0,2020.0,2055.0,3570.0,4660.0,635.0,1190.0,7804.0,3855.0,1150.0,735.0,3725.0,970.0,1415.0
46.0,Pleasant View,9.92,22.56,0.0,5.1,5.0,15818.0,5270.0,9765.0,760.0,10610.0,3670.0,1525.0,7910.0,2355.0,3495.0,15818.0,7595.0,2050.0,2080.0,6470.0,2020.0,3550.0
10.0,Princess-Rosethorn,4.65,39.52,0.0,7.6,9.0,11051.0,7565.0,3360.0,130.0,3560.0,3740.0,3745.0,6315.0,955.0,2005.0,11051.0,5445.0,1770.0,1580.0,3825.0,1855.0,2350.0
72.0,Regent Park,10.84,42.52,2120.0,3.6,2.0,10803.0,5350.0,5015.0,315.0,5360.0,3220.0,2100.0,4835.0,1870.0,2335.0,10803.0,5535.0,1635.0,1775.0,5575.0,1100.0,780.0
4.0,Rexdale-Kipling,7.89,23.31,308.0,4.9,5.0,10529.0,5255.0,4975.0,130.0,5125.0,3035.0,2200.0,4085.0,1960.0,2675.0,10529.0,5145.0,1640.0,1355.0,4300.0,1520.0,2030.0
111.0,Rockcliffe-Smythe,15.85,31.87,1092.0,4.5,4.0,22246.0,10755.0,11020.0,445.0,11565.0,7125.0,3530.0,7580.0,5695.0,5470.0,22246.0,10765.0,3505.0,2740.0,9255.0,3090.0,4135.0
86.0,Roncesvalles,6.04,44.85,511.0,5.5,6.0,14974.0,10080.0,4395.0,390.0,4955.0,4575.0,5340.0,8060.0,1800.0,2725.0,14974.0,7445.0,2300.0,1305.0,7990.0,1690.0,1865.0
98.0,Rosedale-Moore Park,9.84,32.2,520.0,7.6,9.0,20923.0,14490.0,5495.0,620.0,6510.0,5150.0,8950.0,14090.0,1045.0,2870.0,20923.0,9665.0,2625.0,2185.0,7925.0,3030.0,5890.0
131.0,Rouge,13.44,21.95,332.0,5.7,6.0,46496.0,20025.0,25575.0,470.0,26270.0,14705.0,5085.0,19795.0,6580.0,11740.0,46496.0,22435.0,7960.0,6700.0,18510.0,6690.0,7310.0
89.0,Runnymede-Bloor West Village,4.39,45.64,4.0,7.2,8.0,10070.0,7585.0,2335.0,145.0,2615.0,3125.0,4325.0,5665.0,960.0,1385.0,10070.0,4780.0,2050.0,960.0,4605.0,1215.0,1440.0
28.0,Rustic,13.08,16.55,1292.0,4.1,3.0,9941.0,4495.0,5105.0,150.0,5290.0,3560.0,905.0,2850.0,2550.0,2420.0,9941.0,4460.0,1940.0,1405.0,3615.0,1115.0,2230.0
139.0,Scarborough Village,19.5,35.48,788.0,3.9,3.0,16724.0,7040.0,8975.0,415.0,9450.0,4445.0,2530.0,6325.0,2955.0,3785.0,16724.0,7930.0,3365.0,2360.0,6685.0,2095.0,2655.0
85.0,South Parkdale,17.53,26.84,1600.0,4.0,3.0,21849.0,11025.0,8920.0,705.0,9775.0,5130.0,5745.0,11020.0,3050.0,4520.0,21849.0,10985.0,2115.0,2275.0,12440.0,2475.0,2900.0
70.0,South Riverdale,7.56,45.86,1479.0,5.7,6.0,27876.0,18260.0,8210.0,580.0,9045.0,7900.0,10085.0,14280.0,4050.0,4820.0,27876.0,13935.0,3975.0,2445.0,15025.0,3120.0,3850.0
40.0,St.Andrew-Windfields,13.11,18.23,38.0,6.5,7.0,17812.0,8355.0,8835.0,495.0,9460.0,4775.0,3455.0,10465.0,1440.0,3135.0,17812.0,8555.0,2645.0,2540.0,6800.0,2625.0,3645.0
116.0,Steeles,10.57,11.36,0.0,4.5,4.0,24623.0,5820.0,17440.0,1005.0,18520.0,5080.0,665.0,9920.0,4975.0,6235.0,24623.0,11740.0,3150.0,2685.0,9500.0,3515.0,6710.0
